"","Overall"
"Ecosystem.type",8.77088100965676
"Vegetation.type",4.91278745865362
"Duration",8.06079564577765
"Symbiotic.type",31.7449072525829
"Effect.biomass",100
"MAP",19.9162029980043
"P",13.7977170560086
"pH",16.0310986067269
"Experiment.type",31.430749509811
"Disturbance",6.72981948686339
"Nitrogen.fertilization",42.1947338190637
"Cstock",42.6657061935921
"Soil.depth",15.2365137881847
"LAImean",16.1854273059914
"LAImax",23.4123207293026
"fPARmean",10.8910761353682
"fPARmax",27.4899696025777
"MAT",0
